
mutation {

student_onboarding_1: achievementTemplateCreate(data:{
  templateFor: "Global",
  group: "student_onboarding",
  groupOrder: 1,
  sequentialStepName: "E-Mail verifizieren",
  type: "SEQUENTIAL",
  title: "Onboarding",
  tagline: "Willkommen bei Lern-Fair 👋",
  subtitle: null,
  footer: "{{progress}} von {{maxValue}} Schritten abgeschlossen",
  achievedFooter: "{{progress}} von {{maxValue}} Schritten abgeschlossen",
  description: "Hurra! Am {{date}} haben wir eine E-Mail an deine Adresse {{email}} gesendet. Um deine E-Mail zu bestätigen, klicke einfach auf den Button in der Nachricht. Solltest du unsere E-Mail nicht finden, kannst du hier eine erneute Zustellung anfordern und voller Vorfreude auf unser Weiterkommen warten.",
  achievedDescription: null,
  image: "gamification/achievements/release/finish_onboarding/three_pieces/empty_state.png",
  achievedImage: null,
  actionName: "E-Mail verifizieren",
  actionRedirectLink: null,
  actionType: "Action",
  condition: "student_verified_events > 0",
  conditionDataAggregations: "{\"student_verified_events\":{\"metric\":\"student_onboarding_verified\",\"aggregator\":\"count\"}}",
})
      

student_onboarding_2: achievementTemplateCreate(data:{
  templateFor: "Global",
  group: "student_onboarding",
  groupOrder: 2,
  sequentialStepName: "Kennenlerngespräch absolvieren",
  type: "SEQUENTIAL",
  title: "Onboarding",
  tagline: "Willkommen bei Lern-Fair 👋",
  subtitle: null,
  footer: "{{progress}} von {{maxValue}} Schritten abgeschlossen",
  achievedFooter: "{{progress}} von {{maxValue}} Schritten abgeschlossen",
  description: "Wir sind gespannt darauf, dich kennenzulernen! In einem kurzen, 15-minütigen Zoom-Gespräch möchten wir dir gerne unsere vielfältigen Engagement-Möglichkeiten vorstellen und alle deine Fragen beantworten. Buche einfach einen Termin, um mehr zu erfahren und dann voller Tatendrang direkt durchzustarten. Falls dir etwas dazwischen kommt, sage den Termin bitte ab und buche dir einen neuen.",
  achievedDescription: null,
  image: "gamification/achievements/release/finish_onboarding/three_pieces/step_1.png",
  achievedImage: null,
  actionName: "Termin buchen",
  actionRedirectLink: "https://calendly.com/lern-fair/huh-kennenlernen?email={{email}}",
  actionType: "Action",
  condition: "student_screened_events > 0",
  conditionDataAggregations: "{\"student_screened_events\":{\"metric\":\"student_onboarding_screened\",\"aggregator\":\"count\"}}",
})
      

student_onboarding_3: achievementTemplateCreate(data:{
  templateFor: "Global",
  group: "student_onboarding",
  groupOrder: 3,
  sequentialStepName: "Führungszeugnis einreichen",
  type: "SEQUENTIAL",
  title: "Onboarding",
  tagline: "Willkommen bei Lern-Fair 👋",
  subtitle: null,
  footer: "{{progress}} von {{maxValue}} Schritten abgeschlossen",
  achievedFooter: "Wow! Du hast alle Schritte abgeschlossen.",
  description: "Der Schutz von Kindern und Jugendlichen liegt uns sehr am Herzen, daher benötigen wir von allen Ehrenamtlichen ein erweitertes Führungszeugnis. Im nächsten Schritt findest du eine Anleitung zur Beantragung sowie eine Bescheinigung zur Kostenübernahme für das erweiterte Führungszeugnis. Um deinen Account aktiv zu halten, bitten wir dich, das erweiterte Führungszeugnis bis zum {{date}} bei uns einzureichen. Gemeinsam setzen wir uns für eine sichere Umgebung ein, in der alle sich wohl und geschützt fühlen können.",
