templateFor,type,group,step,role,title,tagline,subtitle,actionType,actionName,linkTo,description,achievedDescription,footer,sequentialStepName,achievedFooter,image name,imageLink,achievedImage,condition,conditionDataAggr
Global,Sequential,student_onboarding,1,student,Onboarding,Willkommen bei Lern-Fair 👋,,Action,E-Mail verifizieren,,Hurra! Am {{date}} haben wir eine E-Mail an deine Adresse {{email}} gesendet. Um deine E-Mail zu bestätigen; klicke einfach auf den Button in der Nachricht. Solltest du unsere E-Mail nicht finden; kannst du hier eine erneute Zustellung anfordern und voller Vorfreude auf unser Weiterkommen warten.,,{{progress}} von {{maxValue}} Schritten abgeschlossen,E-Mail verifizieren,{{progress}} von {{maxValue}} Schritten abgeschlossen,Flugticket,gamification/achievements/release/finish_onboarding/three_pieces/empty_state.png,,student_verified_events > 0,"{""student_verified_events"":{""metric"":""student_onboarding_verified"";""aggregator"":""count""}}"
Global,Sequential,student_onboarding,2,student,Onboarding,Willkommen bei Lern-Fair 👋,,Action,Termin buchen,https://calendly.com/lern-fair/huh-kennenlernen?email={{email}},Wir sind gespannt darauf; dich kennenzulernen! In einem kurzen; 15-minütigen Zoom-Gespräch möchten wir dir gerne unsere vielfältigen Engagement-Möglichkeiten vorstellen und alle deine Fragen beantworten. Buche einfach einen Termin; um mehr zu erfahren und dann voller Tatendrang direkt durchzustarten. Falls dir etwas dazwischen kommt; sage den Termin bitte ab und buche dir einen neuen.,,{{progress}} von {{maxValue}} Schritten abgeschlossen,Kennenlerngespräch absolvieren,{{progress}} von {{maxValue}} Schritten abgeschlossen,Flugticket,gamification/achievements/release/finish_onboarding/three_pieces/step_1.png,,student_screened_events > 0,"{""student_screened_events"":{""metric"":""student_onboarding_screened"";""aggregator"":""count""}}"
Global,Sequential,student_onboarding,3,student,Onboarding,Willkommen bei Lern-Fair 👋,,Action,Infos zum Führungszeugnis,/certificate-of-conduct,Der Schutz von Kindern und Jugendlichen liegt uns sehr am Herzen; daher benötigen wir von allen Ehrenamtlichen ein erweitertes Führungszeugnis. Im nächsten Schritt findest du eine Anleitung zur Beantragung sowie eine Bescheinigung zur Kostenübernahme für das erweiterte Führungszeugnis. Um deinen Account aktiv zu halten; bitten wir dich; das erweiterte Führungszeugnis bis zum {{date}} bei uns einzureichen. Gemeinsam setzen wir uns für eine sichere Umgebung ein; in der alle sich wohl und geschützt fühlen können.,Herzlichen Glückwunsch! Du hast alle Onboarding-Schritte erfolgreich gemeistert und dir das Abflugticket für Loki gesichert. Wir sind begeistert; dass du nun Teil unseres Teams bist und Schüler:innen auf ihrem Lernweg begleitest. Gemeinsam setzen wir uns für eine bessere Bildung in Deutschland ein. Du bist bereits jetzt ein:e Lern-Fair Held:in! ❤️ Danke für dein Engagement und deine Begeisterung!,{{progress}} von {{maxValue}} Schritten abgeschlossen,Führungszeugnis einreichen,Wow! Du hast alle Schritte abgeschlossen.,Flugticket,gamification/achievements/release/finish_onboarding/three_pieces/step_2.png,gamification/achievements/release/finish_onboarding/three_pieces/step_3.png,student_coc_success_events > 0,"{""student_coc_success_events"":{""metric"":""student_onboarding_coc_success"";""aggregator"":""count""}}"
Match,Sequential,,1,student,Neue Lernunterstützung,Starte eine Lernpatenschaft,,Action,Anfrage stellen,/request-match,Es war großartig; dich am {{date}} besser kennenzulernen und freuen uns; dass du gemeinsam mit uns die Bildungschancen von Schüler:innen verbessern möchtest. Um dir eine:n passende:n Lernpartner:in zuzuweisen; bitten wir dich zunächst; eine Anfrage auf unserer Plattform zu stellen. Hier kannst du die Fächer und Jahrgangsstufe angeben; die für dich passend sind. Wir freuen uns auf den Start!,,,Anfrage stellen,,Rucksack,gamification/achievements/release/new_match/five_pieces/empty_state.png,,student_match_requested > 0,"{""student_match_requested"":{""metric"":""student_match_requested"";""aggregator"":""count""}}"
Match,Sequential,student_new_match,2,student,Neue Lernunterstützung,Starte eine Lernpatenschaft,,Wait,Lernpartner:in erhalten,,Wir sind mit vollem Engagement dabei; den:die ideale:n Lernpartner:in für dich zu finden. Sobald wir jemanden entdeckt haben; der:die perfekt zu deinen angegebenen Fächern und Jahrgangsstufen passt; senden wir dir direkt eine E-Mail. Dieser Prozess dauert in der Regel nur ein bis zwei Wochen und hängt davon ab; wie gut deine Angaben und die Verfügbarkeit passender Lernpartner:innen übereinstimmen. Deine Anfrage wurde am {{date}} gestellt – freue dich schon jetzt auf das kommende Lernabenteuer!,,,Schüler:in erhalten,,Rucksack,gamification/achievements/release/new_match/five_pieces/step_1.png,,student_match_create > 0,"{""student_match_create"":{""metric"":""student_match_create"";""aggregator"":""count""}}"
Match,Sequential,student_new_match,3,student,Neue Lernunterstützung,{{pupil.firstname}},,Action,{{pupil.firstname}} kontaktieren,/chat,Hurra; wir haben eine:n Lernpartner:in für dich gefunden! 🎉 {{pupil.firstname}} besucht die {{pupil.grade}} und ist gespannt darauf; gemeinsam mit dir in {{matchSubjects}} zu lernen. Trete über den Chat in Kontakt mit {{pupil.firstname}} und schlage ein erstes Kennenlerngespräch vor. Bitte habe Verständnis; falls nicht sofort eine Rückmeldung erfolgt – manche Schüler:innen überprüfen ihre Nachrichten nicht regelmäßig. Wir führen vor der Vermittlung Gespräche mit allen Schüler:innen; um ihre Bedürfnisse zu verstehen und überprüfen. {{pupil.firstname}} freut sich definitiv darauf; dich kennenzulernen!,,,Schüler:in kontaktieren,,Rucksack,gamification/achievements/release/new_match/five_pieces/step_2.png,,student_create_new_match_chat > 0,"{""student_create_new_match_chat"":{""metric"":""student_create_new_match_chat"";""aggregator"":""count""}}"
Match,Sequential,student_new_match,4,student,Neue Lernunterstützung,{{pupil.firstname}},,Action,Termin erstellen,/match/{{match.id}},Starte dein Kennenlernen mit {{pupil.firstname}} auf unserer Plattform; indem du einen Termin erstellst. Unser System verknüpft deinen Termin automatisch mit einem Zoom-Meeting – Komfort pur! Zusätzlich informieren wir {{pupil.firstname}} automatisch per E-Mail über neu geplante Termine und senden eine Erinnerung kurz vor dem Start des Treffens. Nutze diese Funktion auch zukünftig; um die Verlässlichkeit von {{pupil.firstname}} weiter zu stärken.,,,Termin erstellen,,Rucksack,gamification/achievements/release/new_match/five_pieces/step_3.png,,student_add_match_appointment > 0,"{""student_add_match_appointment"":{""metric"":""student_add_match_appointment"";""aggregator"":""count""}}"
Match,Sequential,student_new_match,5,student,Neue Lernunterstützung,{{pupil.firstname}},,Appointment,Zum Termin,/appointment/{{lecture.id}},Wow; die Vorfreude steigt – bald startet eure gemeinsame Reise! 🚀 Wir wünschen dir viel Spaß bei deinem ersten Termin in der Lernunterstützung mit {{pupil.firstname}} und hoffen; dass ihr euch gut versteht und alles klappt. Für dein erstes Treffen haben wir einen Leitfaden zusammengestellt; der dir hilfreiche Tipps; Tricks und spannende Gesprächsthemen bietet. Nutze ihn; um dich optimal vorzubereiten und das Beste aus eurer Zusammenarbeit herauszuholen!,Herzlichen Glückwunsch zu deinem erfolgreichen ersten Termin in der Lernunterstützung mit {{pupil.firstname}}! Möge diese Begegnung der Beginn einer spannenden und produktiven Lernreise sein. Wir sind sicher; dass eure Zusammenarbeit von Freude und Erfolg geprägt sein wird. Auf eine inspirierende Zeit des gemeinsamen Lernens!,,Erstes Gespräch absolvieren,Wow! Du hast alle Schritte abgeschlossen.,Rucksack,gamification/achievements/release/new_match/five_pieces/step_4.png,gamification/achievements/release/new_match/five_pieces/step_5.png,student_conducted_match_appointment > 0,"{""student_conducted_match_appointment"":{""metric"":""student_conducted_match_appointment"";""aggregator"":""count""}}"
GlobalMatch,Tiered,student_conduct_match_appointment,1,student,1 durchgeführter Termin,1:1-Nachhilfe,,None,,,Sobald du einen Nachhilfe-Termin erfolgreich durchgeführt hast; geht die Reise mit unserer Eule Loki weiter. Bleib dran und schließe alle Termine ab; um zu sehen wohin euch die Lernreise als Nächstes führt.,Super! Du hattest deinen ersten Nachhilfe-Termin mit deinem:r Lernpartner:in. Bleibt am Ball und setzt eure Lernreise motiviert fort. Genau wie unsere Eule Loki noch eine lange Reise vor sich hat; gibt es auch für deine:n Lernpartner:in noch vieles zu lernen. Wir hoffen; dass ihr beim gemeinsamen Lernen genauso viel Spaß haben werdet wie Loki beim Paddeln.,{{progress}} von {{maxValue}} Terminen abgeschlossen,,Wow! Du hast alle Termine abgeschlossen.,Fluss,gamification/achievements/release/x_lectures_held/one_lectures_held.jpg,,student_match_appointments_count > 0,"{""student_match_appointments_count"":{""metric"":""student_conducted_match_appointment"";""aggregator"":""count"";""createBuckets"":""by_lecture_participation"";""bucketAggregator"":""presence_of_events"";""valueToAchieve"":1}}"
GlobalMatch,Tiered,student_conduct_match_appointment,2,student,3 durchgeführte Termine,1:1-Nachhilfe,,None,,,Sobald du drei Nachhilfe-Termine erfolgreich durchgeführt hast; geht die Reise mit unserer Eule Loki weiter. Bleib dran und schließe alle Termine ab; um zu sehen wohin euch die Lernreise als Nächstes führt.,Prima! Du hattest nun schon drei Nachhilfe-Termine. Schön; dass ihr eure Lernreise so fleißig startet. Lokis Reise führt heute vorbei an einem schönen; blühenden Kirschbaum. Auch der Baum hat einmal klein angefangen.Genauso wie der Baum gewachsen ist; wächst auch das Wissen deines:r Lernpartner:in mit jedem Termin in der Lernunterstützung. Also macht weiter so!,{{progress}} von {{maxValue}} Terminen abgeschlossen,,Wow! Du hast alle Termine abgeschlossen.,Kirschblüte,gamification/achievements/release/x_lectures_held/three_lectures_held.jpg,,student_match_appointments_count > 2,"{""student_match_appointments_count"":{""metric"":""student_conducted_match_appointment"";""aggregator"":""count"";""createBuckets"":""by_lecture_participation"";""bucketAggregator"":""presence_of_events"";""valueToAchieve"":3}}"
